date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:20:25	6901/6901	---M-Z	200	added ('OK')	text/html	etag:%22dc47701fe8659badbc2c8f58845a8e53-ssl-df%22	https://captainjack.io/	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/index.html	(from )
07:20:25	1361/1361	---MCZ	404	error ('Not%20Found')	text/html	etag:1740971276-ssl-df	https://captainjack.io/robots.txt		(from )
07:20:27	144971/144971	---M--	200	added ('OK')	image/png	etag:%226dade840fc23a29635d3936940851892-ssl%22	https://captainjack.io/assets/favicon.png	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/favicon.png	(from https://captainjack.io/)
07:20:28	70621/70621	---M--	200	added ('OK')	image/jpeg	etag:%22c55098c6b1ea9a3d88166d206a6b164e-ssl%22	https://captainjack.io/assets/thumbnail.jpg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/thumbnail.jpg	(from https://captainjack.io/)
07:20:29	43644/43644	---M--	200	added ('OK')	image/jpeg	etag:%22ba8126e52d78163e777ad5a2c6d23bb4-ssl%22	https://captainjack.io/assets/logo.jpg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/logo.jpg	(from https://captainjack.io/)
07:20:30	2957/2957	---MCZ	200	added ('OK')	text/css	etag:%22f03129571a2fff2fe76fe9b6a0a512d4-ssl-df%22	https://captainjack.io/style.css	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/style.css	(from https://captainjack.io/)
07:20:31	149543/149543	---M--	200	added ('OK')	image/png	etag:%2261b92ba36709565716cc00f61f6a25d1-ssl%22	https://captainjack.io/assets/logo.png	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/logo.png	(from https://captainjack.io/)
07:20:31	1812/1812	---M-Z	200	added ('OK')	image/svg+xml	etag:%224bf104098622f1371f650d0c69e2b251-ssl-df%22	https://captainjack.io/assets/x_logo.svg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/x_logo.svg	(from https://captainjack.io/)
07:20:32	3680/3680	---M-Z	200	added ('OK')	image/svg+xml	etag:%224619ad7e5bb6180667799f40b5b46417-ssl-df%22	https://captainjack.io/assets/telegram.svg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/telegram.svg	(from https://captainjack.io/)
07:20:33	2342/2342	---MCZ	200	added ('OK')	image/svg+xml	etag:%22099c0ed085eb87c135ae2991cba3ecc4-ssl-df%22	https://captainjack.io/assets/instagram.svg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/instagram.svg	(from https://captainjack.io/)
07:20:35	4588/4588	---MCZ	200	added ('OK')	image/svg+xml	etag:%227d75a8ae3df50c57d5577d13d762c9ca-ssl-df%22	https://captainjack.io/assets/dexscreener.svg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/dexscreener.svg	(from https://captainjack.io/)
07:20:36	221890/221890	---M--	200	added ('OK')	image/jpeg	etag:%223cdf84fd3b2c4f174438176808052e59-ssl%22	https://captainjack.io/assets/bg.jpg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/bg.jpg	(from https://captainjack.io/style.css)
07:20:37	208537/208537	---M--	200	added ('OK')	image/jpeg	etag:%22583aa6aff382c21144af41b927a5600e-ssl%22	https://captainjack.io/assets/back.jpg	C:/Users/USER/OneDrive/Desktop/VCC/vaylora/captainjack.io/assets/back.jpg	(from https://captainjack.io/style.css)
